"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Jul-2017","EQ","82.40","83.25","81.90","82.45","83.00","82.95","82.42","91.15","67.00",3930557,"323,940,017.70",19358
"18-Jul-2017","EQ","83.30","83.90","81.90","83.40","82.20","82.45","82.81","91.15","67.00",3271847,"270,940,819.20",11713
"17-Jul-2017","EQ","83.00","84.10","83.00","82.95","83.40","83.40","83.58","91.15","67.00",5230073,"437,130,467.85",12665
"14-Jul-2017","EQ","83.35","83.60","82.75","83.25","82.85","82.95","83.02","91.15","67.00",4106073,"340,896,253.85",6757
"13-Jul-2017","EQ","83.60","83.90","82.90","83.05","83.20","83.25","83.29","91.15","67.00",1882220,"156,762,765.05",9919
"12-Jul-2017","EQ","83.70","84.00","82.75","83.00","83.05","83.05","83.05","91.15","67.00",3279731,"272,380,886.15",17982
"11-Jul-2017","EQ","84.00","84.20","82.75","83.45","83.00","83.00","83.12","91.15","67.00",4536568,"377,084,193.80",15122
"10-Jul-2017","EQ","89.05","89.05","82.60","81.70","83.40","83.45","83.41","91.15","67.00",1442406,"120,304,625.70",3828
"07-Jul-2017","EQ","82.00","83.00","81.40","81.95","81.65","81.70","81.82","91.15","67.00",3227783,"264,106,441.65",21295
"06-Jul-2017","EQ","82.30","82.50","81.85","81.75","81.95","81.95","82.02","91.15","67.00",1223744,"100,375,977.35",7083
"05-Jul-2017","EQ","81.80","82.30","81.55","81.20","81.65","81.75","81.91","91.15","67.00",2227119,"182,413,891.50",11015
"04-Jul-2017","EQ","80.90","81.70","80.55","80.40","81.55","81.20","81.11","91.15","67.00",2415946,"195,953,897.25",9875
"03-Jul-2017","EQ","80.25","81.10","79.95","80.55","80.55","80.40","80.33","91.15","67.00",5308137,"426,397,033.65",25846
"30-Jun-2017","EQ","81.40","81.45","80.50","81.55","80.50","80.55","80.87","91.15","67.00",3999194,"323,420,105.05",19590
"29-Jun-2017","EQ","82.10","82.70","80.95","81.65","81.60","81.55","81.51","91.15","67.00",2374978,"193,593,062.95",19078
"28-Jun-2017","EQ","81.80","82.00","80.85","81.10","81.90","81.65","81.49","91.15","67.00",3192237,"260,130,959.15",17579
"27-Jun-2017","EQ","81.70","83.80","80.80","81.50","81.20","81.10","81.79","91.15","67.00",6031291,"493,313,729.55",24534
"23-Jun-2017","EQ","82.70","82.75","81.15","82.75","81.60","81.50","81.70","91.15","67.00",3436311,"280,758,184.00",21976
"22-Jun-2017","EQ","82.00","83.40","80.75","81.75","82.45","82.75","82.14","91.15","67.00",11286863,"927,101,360.05",30993
"21-Jun-2017","EQ","82.50","82.50","81.35","82.10","81.50","81.75","81.78","91.15","67.00",5082680,"415,670,805.00",20528
"20-Jun-2017","EQ","77.70","82.45","77.70","78.05","82.35","82.10","81.06","91.15","67.00",10963089,"888,661,105.20",46025
"19-Jun-2017","EQ","77.90","78.70","77.15","77.90","78.00","78.05","77.87","91.15","67.00",2691021,"209,553,342.25",16505
"16-Jun-2017","EQ","77.10","78.40","76.80","77.10","78.30","77.90","77.58","91.15","67.00",4329268,"335,872,614.10",12344
"15-Jun-2017","EQ","77.25","77.90","76.80","77.55","77.15","77.10","77.13","91.15","67.00",3411180,"263,096,857.55",16399
"14-Jun-2017","EQ","77.85","77.90","76.75","78.10","77.65","77.55","77.37","91.15","67.00",4060663,"314,186,169.90",21298
"13-Jun-2017","EQ","79.00","79.50","77.65","78.90","77.70","78.10","78.70","91.15","67.00",2322985,"182,821,951.40",8860
"12-Jun-2017","EQ","77.50","79.20","76.65","77.80","78.90","78.90","77.62","91.15","67.00",3119107,"242,117,191.60",16161
"09-Jun-2017","EQ","78.70","79.10","77.55","79.05","77.95","77.80","78.01","91.15","67.00",3785162,"295,272,072.85",18107
"08-Jun-2017","EQ","79.70","79.95","78.55","80.00","79.05","79.05","79.07","91.15","67.00",2330855,"184,307,892.05",13154
"07-Jun-2017","EQ","79.50","80.20","79.20","79.60","79.75","80.00","79.82","91.15","67.00",2020824,"161,303,285.65",21068
"06-Jun-2017","EQ","81.00","81.05","79.25","81.00","79.30","79.60","79.81","91.15","67.00",3011010,"240,298,418.90",12686
"05-Jun-2017","EQ","81.45","81.55","80.55","81.05","81.00","81.00","80.98","91.15","67.00",2458920,"199,124,669.40",9789
"02-Jun-2017","EQ","81.00","81.70","80.85","80.70","81.20","81.05","81.14","91.15","67.00",1447974,"117,491,376.00",11053
"01-Jun-2017","EQ","81.30","81.35","80.05","81.00","80.75","80.70","80.54","91.15","67.00",2767159,"222,861,845.90",12183
"31-May-2017","EQ","82.60","82.60","80.60","82.40","81.00","81.00","81.26","91.15","67.00",5984254,"486,266,944.05",47984
"30-May-2017","EQ","81.20","82.80","80.85","81.15","82.05","82.40","82.05","91.15","67.00",1879356,"154,208,164.55",14582
"29-May-2017","EQ","81.40","81.40","79.80","81.05","81.30","81.15","80.82","91.15","67.00",1724129,"139,335,901.35",11459
"26-May-2017","EQ","80.40","81.25","79.55","80.40","81.20","81.05","80.53","91.15","67.00",2377593,"191,466,207.65",14920
"25-May-2017","EQ","80.35","81.25","79.85","80.25","80.00","80.40","80.37","91.15","67.00",8911228,"716,211,194.35",29904
"24-May-2017","EQ","80.65","81.75","80.05","80.50","80.25","80.25","80.43","91.15","67.00",4879178,"392,440,810.00",17019
"23-May-2017","EQ","82.05","82.25","80.00","82.05","80.50","80.50","80.41","91.15","67.00",5940971,"477,688,730.45",21948
"22-May-2017","EQ","84.25","84.50","80.55","84.15","82.00","82.05","82.04","91.15","67.00",5011530,"411,146,940.10",22255
"19-May-2017","EQ","84.40","85.45","83.05","83.75","83.90","84.15","84.03","91.15","67.00",6222693,"522,919,913.00",19269
"18-May-2017","EQ","84.75","85.60","83.50","85.35","83.80","83.75","84.49","91.15","67.00",2296399,"194,017,658.10",6983
"17-May-2017","EQ","84.00","86.00","83.60","83.85","85.15","85.35","84.92","91.15","67.00",5499293,"466,981,388.75",32097
"16-May-2017","EQ","83.90","85.95","83.40","83.55","83.70","83.85","84.20","91.15","67.00",5141578,"432,930,961.30",23193
"15-May-2017","EQ","82.55","83.80","82.15","82.30","83.55","83.55","82.85","91.15","67.00",2007841,"166,351,528.35",13315
"12-May-2017","EQ","82.60","82.85","82.00","82.60","82.25","82.30","82.26","91.15","67.00",1575436,"129,592,382.25",9733
"11-May-2017","EQ","82.00","83.05","81.60","81.55","83.05","82.60","82.37","91.15","67.00",2866991,"236,145,857.40",14301
"10-May-2017","EQ","83.30","83.55","81.40","83.10","81.70","81.55","82.26","91.15","67.00",5865523,"482,514,493.35",10861
"09-May-2017","EQ","83.30","83.35","82.70","83.10","83.15","83.10","83.06","91.15","67.00",1743406,"144,803,510.90",7008
"08-May-2017","EQ","83.20","83.50","82.50","83.40","83.20","83.10","83.03","91.15","67.00",2569523,"213,359,611.95",12823
"05-May-2017","EQ","82.75","84.15","82.50","83.00","83.10","83.40","83.36","91.15","67.00",2399071,"199,992,288.00",10858
"04-May-2017","EQ","82.20","83.30","81.75","82.20","83.30","83.00","82.67","91.15","67.00",3787868,"313,140,217.60",24073
"03-May-2017","EQ","84.00","84.05","82.05","83.70","82.20","82.20","82.67","91.15","67.00",2287917,"189,144,501.70",14612
"02-May-2017","EQ","84.35","84.65","83.40","84.30","83.55","83.70","83.85","91.15","67.00",1944305,"163,034,164.55",19890
"28-Apr-2017","EQ","84.30","85.00","83.90","84.65","84.75","84.30","84.29","91.15","67.00",2302640,"194,091,459.60",10578
"27-Apr-2017","EQ","85.05","85.50","83.90","85.00","84.25","84.65","84.91","91.15","67.00",4571169,"388,157,681.85",23369
"26-Apr-2017","EQ","85.20","85.60","84.80","85.20","85.05","85.00","85.04","91.15","67.00",3153522,"268,169,035.25",16687
"25-Apr-2017","EQ","86.75","86.85","84.95","86.00","85.05","85.20","85.68","91.15","67.00",4439588,"380,365,213.45",23728
"24-Apr-2017","EQ","84.45","86.30","84.20","84.15","86.00","86.00","85.50","91.15","67.00",2678461,"229,019,061.40",13503
"21-Apr-2017","EQ","85.35","85.35","83.70","84.15","84.30","84.15","84.29","91.15","67.00",3326507,"280,380,140.45",18435
"20-Apr-2017","EQ","86.20","86.25","83.95","85.65","84.30","84.15","84.38","91.15","67.00",3216298,"271,379,737.45",29301
"19-Apr-2017","EQ","84.15","86.65","84.10","83.55","85.95","85.65","85.42","91.15","67.00",7511675,"641,662,621.30",53620
"18-Apr-2017","EQ","84.15","84.55","83.35","84.05","83.50","83.55","83.81","91.15","67.00",4184680,"350,714,957.25",22234
"17-Apr-2017","EQ","84.90","84.90","83.70","84.70","84.10","84.05","84.02","91.15","67.00",6224581,"523,013,740.20",15368
"13-Apr-2017","EQ","84.70","85.20","83.90","85.55","85.00","84.70","84.68","91.15","65.50",4775644,"404,397,950.65",13545
"12-Apr-2017","EQ","85.05","86.30","84.10","85.45","85.65","85.55","84.93","91.15","65.50",7643076,"649,099,568.45",36303
"11-Apr-2017","EQ","87.45","90.15","81.15","87.05","85.50","85.45","84.93","91.15","65.50",32224697,"2,736,783,738.55",108939
"10-Apr-2017","EQ","87.80","87.85","86.85","87.50","87.00","87.05","87.12","91.15","65.50",5509757,"480,017,237.70",9600
