"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Aug-2018","EQ","62.70","63.40","62.30","60.40","63.40","63.40","63.27","63.40","22.80",1023345,"64,750,639.25",2852
"31-Jul-2018","EQ","60.40","60.40","58.60","57.55","60.40","60.40","60.24","60.40","22.80",3461295,"208,516,036.55",10214
"30-Jul-2018","EQ","52.80","57.55","52.80","52.35","57.55","57.55","56.30","57.55","22.80",2011508,"113,247,527.75",9661
"27-Jul-2018","EQ","54.50","54.80","51.15","52.90","52.25","52.35","53.26","56.40","22.80",1425686,"75,925,478.95",9610
"26-Jul-2018","EQ","55.80","56.40","48.00","51.30","53.20","52.90","53.61","56.40","22.80",6847468,"367,060,644.55",33525
"25-Jul-2018","EQ","50.70","51.30","47.10","46.65","51.30","51.30","50.47","51.30","22.80",868232,"43,819,768.55",2414
"24-Jul-2018","EQ","45.85","46.65","45.00","42.45","46.65","46.65","46.54","46.65","22.80",1510186,"70,276,940.05",2760
"23-Jul-2018","EQ","37.90","42.45","37.10","35.40","42.45","42.45","40.94","42.45","22.80",2766587,"113,252,620.10",10782
"20-Jul-2018","EQ","29.95","35.60","29.50","29.70","35.60","35.40","34.79","35.60","22.80",5891772,"204,986,174.80",19693
"19-Jul-2018","EQ","29.80","30.40","28.10","29.75","30.15","29.70","29.28","33.40","22.80",469529,"13,745,803.05",2870
"18-Jul-2018","EQ","31.50","31.75","29.55","31.45","29.70","29.75","30.47","33.40","22.80",497514,"15,160,017.10",3713
"17-Jul-2018","EQ","31.65","31.85","30.95","31.10","31.50","31.45","31.48","33.40","22.80",557931,"17,565,538.45",2789
"16-Jul-2018","EQ","32.40","32.40","30.85","31.45","31.25","31.10","31.59","33.40","22.80",696778,"22,008,967.65",7373
"13-Jul-2018","EQ","32.50","32.70","31.20","31.10","31.30","31.45","31.65","33.40","22.80",770830,"24,399,143.75",8032
"12-Jul-2018","EQ","31.80","32.90","30.95","31.95","31.15","31.10","31.99","33.40","22.80",524503,"16,780,361.50",4423
"11-Jul-2018","EQ","31.05","33.40","30.60","31.10","31.85","31.95","32.32","33.40","22.80",1610144,"52,033,617.60",12255
"10-Jul-2018","EQ","30.55","31.85","30.25","30.95","31.00","31.10","31.14","33.05","22.80",492511,"15,338,719.10",5831
"09-Jul-2018","EQ","30.45","31.40","29.55","30.35","30.65","30.95","30.90","33.05","22.80",616718,"19,057,915.75",5106
"06-Jul-2018","EQ","29.00","30.90","28.85","29.80","30.45","30.35","30.32","33.05","22.80",523472,"15,872,082.75",3042
"05-Jul-2018","EQ","29.80","31.95","28.60","29.60","29.75","29.80","30.54","33.05","22.80",1546192,"47,220,825.55",6516
"04-Jul-2018","EQ","26.00","29.95","25.80","26.35","29.80","29.60","28.10","33.05","22.80",1033451,"29,037,861.20",6363
"03-Jul-2018","EQ","26.95","26.95","24.50","25.20","26.60","26.35","25.82","33.05","22.80",519628,"13,416,582.20",3205
"02-Jul-2018","EQ","27.20","27.25","22.80","26.80","25.40","25.20","24.94","33.05","22.80",1369795,"34,157,224.20",5274
