"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"GKW Limited","60.02","39.98",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162155_535250_18102021114559_WEB.xml"
"AVSL Industries Limited","71.15","28.85",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162156_535256_18102021114710_WEB.xml"
"Surya Roshni Limited","62.96","34.76",,"2.27","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162157_535266_18102021115040_WEB.xml"
"Seamec Limited","72.04","27.96",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162158_535272_18102021115305_WEB.xml"
"SML Isuzu Limited","43.96","56.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162160_535289_18102021120254_WEB.xml"
"Eris Lifesciences Limited","52.68","47.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162161_535301_18102021120554_WEB.xml"
"Pavna Industries Limited","70.44","29.56",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162162_535308_18102021120729_WEB.xml"
"Nila Infrastructures Limited","61.9","38.1",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162163_535317_18102021121352_WEB.xml"
"Silver Touch Technologies Limited","74.17","25.84",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162166_535331_18102021121921_WEB.xml"
"Advanced Enzyme Technologies Limited","52.55","47.45",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162167_535340_18102021122240_WEB.xml"
"Elecon Engineering Company Limited","59.21","40.79",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162168_535343_18102021122342_WEB.xml"
"International Conveyors Limited","63.44","36.56",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162169_535352_18102021122610_WEB.xml"
"Aban Offshore Limited","46","54",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162171_535387_18102021123933_WEB.xml"
"Almondz Global Securities Limited","58.31","41.69",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162172_535391_18102021124018_WEB.xml"
"Marathon Nextgen Realty Limited","74.97","25.03",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162173_535399_18102021124443_WEB.xml"
"Computer Age Management Services Limited","30.96","69.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162174_535403_18102021124538_WEB.xml"
"BALAXI PHARMACEUTICALS LIMITED","72.86","27.13",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162175_535409_18102021124844_WEB.xml"
"Centrum Capital Limited","38.16","57.29",,"4.55","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162176_535426_18102021125314_WEB.xml"
"Unitech Limited","5.13","94.87",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162177_535432_18102021125403_WEB.xml"
"Shreyas Shipping & Logistics Limited","68.94","31.06",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162179_535443_18102021125628_WEB.xml"
"Tokyo Plast International Limited","64.97","35.03",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162181_535469_18102021010911_WEB.xml"
"Metropolis Healthcare Limited","50.33","49.67",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162182_535473_18102021011019_WEB.xml"
"International Constructions Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162184_535478_18102021011603_WEB.xml"
"Poly Medicure Limited","44.77","55.23",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162186_535496_18102021012253_WEB.xml"
"Cosmo Films Limited","44.09","54.35",,"1.56","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162188_535506_18102021012630_WEB.xml"
"Archies Limited","62.35","37.65",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162189_535525_18102021014218_WEB.xml"
"Bedmutha Industries Limited","57.05","42.95",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162190_535543_18102021015213_WEB.xml"
"The State Trading Corporation of India Limited","90","10",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162191_535555_18102021015702_WEB.xml"
"Bharat Gears Limited","55.32","44.68",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162193_535561_18102021020112_WEB.xml"
"Castrol India Limited","51","49",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162194_535566_18102021020402_WEB.xml"
"Thomas Scott (India) Limited","68.03","31.97",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162195_535568_18102021020638_WEB.xml"
"PTL Enterprises Limited","69.82","30.18",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162196_535579_18102021021250_WEB.xml"
"Indian Overseas Bank","96.38","3.62",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162197_535592_18102021021658_WEB.xml"
"Ponni Sugars (Erode) Limited","42.36","57.64",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162198_535594_18102021021806_WEB.xml"
"Bang Overseas Limited","72.98","27.02",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162199_535596_18102021021820_WEB.xml"
"Responsive Industries Limited","49.58","50.42",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162200_535600_18102021021908_WEB.xml"
"Heranba Industries Limited","74.61","25.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162202_535608_18102021022356_WEB.xml"
"APL Apollo Tubes Limited","36.84","63.16",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162204_535624_18102021022818_WEB.xml"
"Eicher Motors Limited","49.22","50.78",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162205_535651_18102021023546_WEB.xml"
"Privi Speciality Chemicals Limited","74.06","25.94",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162206_535653_18102021023644_WEB.xml"
"Trent Limited","37.01","62.99",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162207_535665_18102021024121_WEB.xml"
"Birla Corporation Limited","62.9","37.1",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162208_535667_18102021024210_WEB.xml"
"Jet Freight Logistics Limited","69.66","30.35",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162210_535685_18102021024801_WEB.xml"
"Mawana Sugars Limited","63.49","36.51",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162211_535687_18102021024845_WEB.xml"
"The Ugar Sugar Works Limited","45.42","54.58",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162212_535709_18102021025523_WEB.xml"
"Nila Spaces Limited","61.9","38.1",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162213_535712_18102021025637_WEB.xml"
"DFM Foods Limited","73.7","26.3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162214_535718_18102021025753_WEB.xml"
"Shivalik Bimetal Controls Limited","60.61","39.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162215_535725_18102021030005_WEB.xml"
"RHI MAGNESITA INDIA LIMITED","66.49","33.51",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162216_535728_18102021030038_WEB.xml"
"Kalpataru Power Transmission Limited","54.55","45.45",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162217_535748_18102021031003_WEB.xml"
"Schneider Electric Infrastructure Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162219_535751_18102021031206_WEB.xml"
"Supreme Engineering Limited","65.99","34.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162221_535758_18102021031505_WEB.xml"
"Jindal Poly Films Limited","74.55","25.45",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162224_535769_18102021031823_WEB.xml"
"Bombay Burmah Trading Corporation Limited","65.93","34.07",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162226_535772_18102021031923_WEB.xml"
"WABCO India Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162229_535787_18102021032535_WEB.xml"
"Apollo Micro Systems Limited","59.1","40.9",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162230_535799_18102021033003_WEB.xml"
"Ahluwalia Contracts (India) Limited","55.32","44.68",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162231_535804_18102021033048_WEB.xml"
"Dhanlaxmi Bank Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162232_535819_18102021033441_WEB.xml"
"Universus Photo Imagings Limited","74.55","25.45",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162233_535821_18102021033459_WEB.xml"
"Adani Green Energy Limited","60.14","39.86",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162234_535827_18102021033603_WEB.xml"
"Gulshan Polyols Limited","68.2","31.63",,"0.17","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162235_535841_18102021033846_WEB.xml"
"Cineline India Limited","65.39","34.61",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162236_535842_18102021033848_WEB.xml"
"Wipro Limited","73.02","26.66",,"0.32","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162237_535844_18102021033909_WEB.xml"
"SKIL Infrastructure Limited","56.25","40.29",,"3.46","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162238_535858_18102021034211_WEB.xml"
"Future Enterprises Limited","20.61","79.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162239_535860_18102021034216_WEB.xml"
"Apollo Tyres Limited","37.34","62.66",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162240_535869_18102021034419_WEB.xml"
"Future Enterprises Limited","72.22","27.78",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162241_535889_18102021034645_WEB.xml"
"Artemis Medicare Services Limited","69.82","30.18",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162242_535897_18102021034802_WEB.xml"
"Global Vectra Helicorp Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162243_535901_18102021034858_WEB.xml"
"Wanbury Limited","39.9","60.1",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162244_535903_18102021034913_WEB.xml"
"Bright Solar Limited","24.73","75.28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162245_535907_18102021034924_WEB.xml"
"Arcotech Limited","39.96","60.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162246_535909_18102021034932_WEB.xml"
"Jash Engineering Limited","53.03","46.98",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162247_535928_18102021035311_WEB.xml"
"IIFL Finance Limited","24.93","75.07",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162250_535959_18102021040210_WEB.xml"
"Filatex India Limited","65.18","34.82",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162251_535965_18102021040545_WEB.xml"
"Dhunseri Tea & Industries Limited","68.9","31.1",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162252_535968_18102021040654_WEB.xml"
"Marine Electricals (India) Limited","73.52","26.49",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162253_535979_18102021040749_WEB.xml"
"NLC India Limited","79.2","20.8",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162254_535981_18102021040828_WEB.xml"
"3P Land Holdings Limited","73.3","26.7",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162255_535985_18102021040849_WEB.xml"
"Poddar Pigments Limited","62.43","37.57",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162256_535984_18102021040849_WEB.xml"
"Ravinder Heights Limited","73.59","26.41",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162258_536004_18102021041340_WEB.xml"
"Ambani Organics Limited","72.67","27.34",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162260_536054_18102021042648_WEB.xml"
"Visu International Limited","14.42","85.58",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162262_536066_18102021042849_WEB.xml"
"Indo Thai Securities Limited","70.89","29.11",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162263_536075_18102021043324_WEB.xml"
"Jaiprakash Associates Limited","38.12","61.88",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162264_536078_18102021043430_WEB.xml"
"Kirloskar Oil Engines Limited","59.44","40.55",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162265_536084_18102021043714_WEB.xml"
"Kaveri Seed Company Limited","57.28","41.21",,"1.5","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162266_536086_18102021043731_WEB.xml"
"BF Utilities Limited","55.99","44.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162267_536088_18102021043747_WEB.xml"
"V2 Retail Limited","53.56","46.44",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162269_536112_18102021044626_WEB.xml"
"ICICI Bank Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162270_536114_18102021044654_WEB.xml"
"Somi Conveyor Beltings Limited","59.09","40.91",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162271_536129_18102021044957_WEB.xml"
"Manav Infra Projects Limited","73.13","26.87",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162272_536132_18102021045017_WEB.xml"
"Shreyans Industries Limited","50.53","49.47",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162273_536134_18102021045025_WEB.xml"
"Tata Coffee Limited","57.48","42.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162274_536140_18102021045155_WEB.xml"
"Amit Spinning Industries Limited","50.96","49.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162275_536142_18102021045220_WEB.xml"
"Visaka Industries Limited","45.85","54.15",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162276_536155_18102021045716_WEB.xml"
"Commercial Engineers & Body Builders Co Limited","60.65","39.35",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162277_536173_18102021050153_WEB.xml"
"Websol Energy System Limited","25.37","74.63",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162278_536175_18102021050205_WEB.xml"
"Garware Technical Fibres Limited","52.62","47.38",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162279_536181_18102021050257_WEB.xml"
"Finolex Industries Limited","52.47","47.19",,"0.34","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162281_536195_18102021050544_WEB.xml"
"Euro India Fresh Foods Limited","73.5","26.5",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162282_536200_18102021050819_WEB.xml"
"Ravi Kumar Distilleries Limited","23.59","76.41",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162284_536230_18102021051510_WEB.xml"
"Shanti Overseas (India) Limited","74.96","25.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162285_536248_18102021052059_WEB.xml"
"Cholamandalam Financial Holdings Limited","48.62","51.38",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162286_536273_18102021052531_WEB.xml"
"Rama Steel Tubes Limited","62.33","37.67",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162287_536283_18102021052638_WEB.xml"
"D.B.Corp Limited","71.81","28.19",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162289_536292_18102021052820_WEB.xml"
"Renaissance Global Limited","70.78","28.18",,"1.04","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162291_536306_18102021053149_WEB.xml"
"Pressman Advertising Limited","47.19","52.81",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162292_536316_18102021053332_WEB.xml"
"Zuari Global Limited","56.9","43.1",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162293_536325_18102021053454_WEB.xml"
"Sun Pharmaceutical Industries Limited","54.48","45.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162294_536338_18102021053631_WEB.xml"
"Container Corporation of India Limited","54.8","45.2",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162296_536371_18102021054307_WEB.xml"
"Mukta Arts Limited","70.67","29.33",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162297_536384_18102021054643_WEB.xml"
"Central Depository Services (India) Limited","20","80",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162298_536389_18102021054743_WEB.xml"
"Vardhman Textiles Limited","63.17","36.83",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162299_536393_18102021054802_WEB.xml"
"India Motor Parts and Accessories Limited","30.72","69.28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162301_536413_18102021055122_WEB.xml"
"Beardsell Limited","60.77","39.23",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162303_536457_18102021060140_WEB.xml"
"Windlas Biotech Limited","59.95","40.05",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162304_536460_18102021060204_WEB.xml"
"Peninsula Land Limited","61.61","38.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162306_536493_18102021060721_WEB.xml"
"India Glycols Limited","61.02","38.98",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162307_536497_18102021060744_WEB.xml"
"AksharChem India Limited","62.7","37.3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162308_536503_18102021060825_WEB.xml"
"Shree Ram Proteins Limited","55.61","44.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162309_536513_18102021061050_WEB.xml"
"Subex Limited","0","97.23",,"2.77","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162310_536519_18102021061146_WEB.xml"
"Mohini Health & Hygiene Limited","62.33","37.67",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162311_536523_18102021061309_WEB.xml"
"GRP Limited","41.71","58.29",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162312_536525_18102021061439_WEB.xml"
"Sarda Energy & Minerals Limited","72.5","27.5",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162313_536534_18102021061837_WEB.xml"
"The Great Eastern Shipping Company Limited","29.21","70.79",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162314_536548_18102021062604_WEB.xml"
"Shree Pushkar Chemicals & Fertilisers Limited","67.03","32.97",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162315_536560_18102021062938_WEB.xml"
"CARE Ratings Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162316_536565_18102021063126_WEB.xml"
"Giriraj Civil Developers Limited","59.57","40.43",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162317_536573_18102021063417_WEB.xml"
"EIH Associated Hotels Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162318_536578_18102021063531_WEB.xml"
"Clean Science and Technology Limited","78.51","21.49",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162319_536593_18102021063836_WEB.xml"
"Alicon Castalloy Limited","55.71","44.29",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162320_536597_18102021063859_WEB.xml"
"Indiamart Intermesh Limited","49.52","49.75",,"0.72","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162321_536600_18102021063922_WEB.xml"
"Edelweiss Financial Services Limited","32.82","62.4",,"4.79","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162322_536609_18102021064251_WEB.xml"
"Dixon Technologies (India) Limited","34.93","65.07",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162324_536615_18102021064638_WEB.xml"
"Cybertech Systems And Software Limited","36.73","63.27",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162325_536625_18102021065416_WEB.xml"
"DCM Shriram Limited","66.53","32.46",,"1.01","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162326_536646_18102021070032_WEB.xml"
"Banswara Syntex Limited","58.79","41.21",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162327_536654_18102021070326_WEB.xml"
"INOX Leisure Limited","43.63","56.25",,"0.12","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162328_536660_18102021070753_WEB.xml"
"TGB Banquets And Hotels Limited","31.71","68.29",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162329_536668_18102021070923_WEB.xml"
"Chemcon Speciality Chemicals Limited","74.47","25.53",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162330_536670_18102021070950_WEB.xml"
"Brightcom Group Limited","22.4","77.6",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162331_536691_18102021071814_WEB.xml"
"Happiest Minds Technologies Limited","53.25","43.58",,"3.16","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162333_536706_18102021072432_WEB.xml"
"IIFL Securities Limited","31.38","68.62",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162334_536721_18102021072742_WEB.xml"
"Jindal Photo Limited","72.72","27.28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162335_536730_18102021073634_WEB.xml"
"Pritish Nandy Communications Limited","54.84","45.16",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162336_536751_18102021074458_WEB.xml"
"Shoppers Stop Limited","65.41","34.59",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162337_536760_18102021075148_WEB.xml"
"Crompton Greaves Consumer Electricals Limited","5.99","94.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162338_536771_18102021080040_WEB.xml"
"Aditya Birla Capital Limited","70.69","29.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162339_536793_18102021081927_WEB.xml"
"Sona Hi Sona Jewellers (Gujarat) Limited","73.19","26.81",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162340_536799_18102021082319_WEB.xml"
"Dev Information Technology Limited","69.07","30.92",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162342_536825_18102021084615_WEB.xml"
"DRS Dilip Roadlines Limited","72.12","27.89",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162343_536843_18102021090625_WEB.xml"
"Mohota Industries Limited","42.42","57.58",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162344_536845_18102021090854_WEB.xml"
"Premier Explosives Limited","41.33","58.67",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162346_536859_18102021092940_WEB.xml"
"Creative Newtech Limited","66.65","33.35",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162347_536879_18102021095518_WEB.xml"
"Kritika Wires Limited","72.89","27.11",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162348_536883_18102021100330_WEB.xml"
"Aptus Value Housing Finance India Limited","62.51","37.49",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162349_536904_18102021101849_WEB.xml"
"MindTree Limited","61","39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162350_536910_18102021102627_WEB.xml"
"Bhalchandram Clothing Limited","46.36","53.65",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162352_536929_18102021110037_WEB.xml"
"Iris Clothings Limited","67.83","32.18",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162354_536943_18102021115350_WEB.xml"
"GFL Limited","68.72","31.28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162355_536961_19102021022530_WEB.xml"
"Cadsys (India) Limited","47.68","52.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162358_536966_19102021033301_WEB.xml"
"Pidilite Industries Limited","69.99","30.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162359_536978_19102021091644_WEB.xml"
"Vardhman Special Steels Limited","60.87","39.13",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162360_536980_19102021091709_WEB.xml"
"Larsen & Toubro Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162361_536988_19102021093432_WEB.xml"
"Hercules Hoists Limited","69.61","30.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162362_537002_19102021095622_WEB.xml"
"Ashoka Buildcon Limited","54.48","45.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162363_537023_19102021100936_WEB.xml"
"Everest Industries Limited","50.72","49.28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162364_537028_19102021101322_WEB.xml"
"Sudarshan Chemical Industries Limited","35.73","64.27",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162365_537030_19102021101415_WEB.xml"
"Angel Broking Limited","43.77","56.23",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162366_537032_19102021101433_WEB.xml"
"MPS Limited","67.99","32.03",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162368_537063_19102021103046_WEB.xml"
"Modern Thread Limited","65.1","34.9",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162369_537065_19102021103133_WEB.xml"
"Bhageria Industries Limited","71.07","28.93",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162370_537079_19102021103719_WEB.xml"
"Shyam Telecom Limited","66.16","33.84",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162371_537101_19102021105401_WEB.xml"
