"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Shalimar Paints Limited","53.1","46.9",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161353_528062_11102021043317_WEB.xml"
"AVT Natural Products Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161354_528068_11102021043627_WEB.xml"
"Panacea Biotec Limited","73.59","26.41",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161355_528087_11102021044132_WEB.xml"
"Oberoi Realty Limited","67.7","32.3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161356_528093_11102021044229_WEB.xml"
"LG Balakrishnan & Bros Limited","40.05","59.95",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161357_528098_11102021044254_WEB.xml"
"VST Industries Limited","32.16","67.64",,"0.2","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161358_528100_11102021044306_WEB.xml"
"Bank of Maharashtra","90.97","9.03",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161360_528115_11102021044602_WEB.xml"
"SMVD Poly Pack Limited","65.53","34.46",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161361_528124_11102021044713_WEB.xml"
"Univastu India Limited","73.48","26.53",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161362_528133_11102021045048_WEB.xml"
"McDowell Holdings Limited","2.27","97.73",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161363_528135_11102021045204_WEB.xml"
"Shri Ram Switchgears Limited","60.81","39.19",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161364_528171_11102021050158_WEB.xml"
"Ador Welding Limited","56.9","43.1",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161365_528184_11102021050259_WEB.xml"
"Hemisphere Properties India Limited","51.12","48.88",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161367_528245_11102021051808_WEB.xml"
"Brooks Laboratories Limited","66.41","33.59",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161368_528257_11102021052044_WEB.xml"
"Jtekt India Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161369_528260_11102021052136_WEB.xml"
"KIOCL Limited","99.03","0.97",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161371_528272_11102021052455_WEB.xml"
"Nahar Capital and Financial Services Limited","71.24","28.76",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161372_528289_11102021052721_WEB.xml"
"Indian Railway Finance Corporation Limited","86.36","13.64",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161373_528296_11102021052836_WEB.xml"
"Zee Entertainment Enterprises Limited","3.99","96.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161374_528298_11102021052857_WEB.xml"
"Nagreeka Capital & Infrastructure Limited","53.53","46.47",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161375_528313_11102021053102_WEB.xml"
"Vardhman Polytex Limited","60.18","39.82",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161376_528314_11102021053103_WEB.xml"
"ICICI Securities Limited","74.91","25.09",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161377_528324_11102021053332_WEB.xml"
"Nagreeka Exports Limited","52.87","47.13",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161378_528329_11102021053400_WEB.xml"
"Century Textiles & Industries Limited","50.21","49.79",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161379_528333_11102021053505_WEB.xml"
"Alkem Laboratories Limited","58.84","41.16",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161380_528343_11102021053748_WEB.xml"
"Uniinfo Telecom Services Limited","50.91","49.09",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161381_528346_11102021053908_WEB.xml"
"Jyothy Labs Limited","62.89","37.11",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161382_528358_11102021054041_WEB.xml"
"Energy Development Company Limited","58.14","41.86",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161384_528377_11102021054707_WEB.xml"
"TVS Electronics Limited","59.84","40.17",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161385_528383_11102021054822_WEB.xml"
"Olectra Greentech Limited","51.74","48.26",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161386_528394_11102021055000_WEB.xml"
"Lasa Supergenerics Limited","64.47","35.53",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161387_528407_11102021055301_WEB.xml"
"Laurus Labs Limited","27.3","72.7",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161388_528415_11102021055547_WEB.xml"
"Ircon International Limited","73.18","26.82",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161391_528445_11102021060830_WEB.xml"
